characteristic,charNum
Seldom feel blue.,1
Am not interested in other people's problems.,2
Carry out my plans.,3
Make friends easily.,4
Am quick to understand things.,5
Get angry easily.,6
Respect authority.,7
Leave my belongings around.,8
Take charge.,9
Enjoy the beauty of nature.,10
Am filled with doubts about things.,11
Feel others' emotions.,12
Waste my time.,13
Am hard to get to know.,14
Have difficulty understanding abstract ideas.,15
Rarely get irritated.,16
Belive that I am better than others.,17
Like order.,18
Have a strong personality.,19
Believe in the importance of art.,20
Feel comfortable with myself.,21
Inquire about others' well-being.,22
Find it difficult to get down to work.,23
Keep others at a distance.,24
Can handle a lot of information.,25
Get upset easily.,26
Hate to seem pushy.,27
Keep things tidy.,28
Lack the talet for influencing people.,29
Love to reflect on things.,30
Feel threatened easily.,31
Can't be bothered with other's needs. ,32
Mess things up. ,33
Reveal little about myself.,34
Like to solve complex problems. ,35
Keep my emotions under control. ,36
Take advantage of others. ,37
Follow a schedule.,38
Know how to captivate people. ,39
Get deeply immersed into music. ,40
Rarely feel depressed. ,41
Sympathize with others' feelings. ,42
Finish what I start. ,43
Warm up quickly to others. ,44
Avoid philosophical discussions.,45
Change my mood a lot. ,46
Avoid imposing my will on others. ,47
Am not bothered by messy people. ,48
Wait for others to lead the way. ,49
Do not like poetry. ,50
Worry about things. ,51
Am indifferent to the feelings of others. ,52
Don't put my mind on the task at hand. ,53
Rarely get caught up in the excitement. ,54
Avoid difficult reading material. ,55
Rarely lose my composure. ,56
Rarely put people under pressure. ,57
"Want everything to be ""just right.""",58
See myself as a good leader. ,59
Seldom notice the emotional aspects of paintings and pictures. ,60
Am easily discouraged. ,61
Take no time for others. ,62
Get things done quickly. ,63
Am not a very enthusiastic person. ,64
Have a rich vocabulary. ,65
Am a person whose moods go up and down easily. ,66
Insult people. ,67
Am not bothered by disorder. ,68
Can talk others in to doing things. ,69
Need a creative outlet. ,70
Am not embarrassed easily. ,71
Take an interest in other people'es lives. ,72
Always know what I am doing. ,73
Show my feelings when I'm happy. ,74
Think quickly. ,75
Am not easily annoyed. ,76
Seek conflict. ,77
Dislike routine. ,78
Hold back my opinions. ,79
Seldom get lost in thought. ,80
Become overwhelmed by events. ,81
Don't have a soft side. ,82
Postpone decisions. ,83
Have a lot of fun. ,84
Learn things slowly. ,85
Get easily agitated. ,86
Love a good fight. ,87
See that rules are observed. ,88
Am the first to act. ,89
Seldom daydream. ,90
Am afraid of many things. ,91
Like to do things for others. ,92
Am easily distracted. ,93
Laugh a lot. ,94
Formulate ideas clearly. ,95
Can be stirred up easily. ,96
Am out for my own personal gain. ,97
Want every detail taken care of. ,98
Do not have an assertive personality. ,99
See beauty in things that others might not notice. ,100