question,questNum
I can easily tell if someone else wants to enter a conversation. ,1
I really enjoy caring for other people. ,2
I find it hard to know what to do in a social situation. ,3
I often find it difficult to judge if something is rude or polite. ,4
"In a conversation, I tend to focus on my own thoughts rather than on what the listener might be thinking. ",5
I can pick up quickly if someone says one thing but means another. ,6
It is hard for me to see why some things upset people so much. ,7
I find it easy to put myself in somebody else's shoes. ,8
I am good at predicting how someone will feel. ,9
I am quick to spot when someone in a group is feeling awkward or uncomfortable. ,10
I can’t always see why someone should have felt offended by a remark.,11
I don’t tend to find social situations confusing.,12
Other people tell me I am good at understanding how they are feeling and what they are thinking. ,13
I can easily tell if someone else is interested or bored with what I am saying. ,14
Friends usually talk to me about their problems as they say I am very understanding. ,15
"I can sense if I am intruding, even if the other person doesn’t tell me. ",16
"Other people often say that I am insensitive, thought I don't always see why. ",17
I can tune into how someone else feels rapidly and intuitively. ,18
I can easily work out what another person might want to talk about. ,19
I can tell if someone is masking their true emotion. ,20
I am good at predicting what someone will do. ,21
I tend to get emotionally involved with a friend's problems. ,22